participant_id,task,rep,phase,band,channel,erd_ref_trial_pct,erd_ref_restEDF_pct,is_simulated
P01,AGEM KANAN,1,TAHAN,beta,O2,522.9270076626128,230.51456161077718,False
P01,AGEM KANAN,1,NAIK,theta,C3,124505.85996403728,164.57128274260123,False
P01,AGEM KANAN,1,NAIK,theta,C4,8061.8552721700435,87.62733405625676,False
P01,AGEM KANAN,1,NAIK,theta,P3,9972.194095473225,1548.8788388238572,False
P01,AGEM KANAN,1,NAIK,theta,P4,559.6478052563195,68.85875876039584,False
P01,AGEM KANAN,1,NAIK,theta,O1,26.024805488872428,8.69271397636453,False
P01,AGEM KANAN,1,NAIK,theta,O2,19924.326514794335,697.1137545492236,False
P01,AGEM KANAN,1,NAIK,mu,C3,67401.89637858132,574.4982879794837,False
P01,AGEM KANAN,1,NAIK,mu,C4,11539.61008680398,696.0306929694973,False
P01,AGEM KANAN,1,NAIK,mu,P3,5065.056963339201,242.81475759616993,False
P01,AGEM KANAN,1,NAIK,mu,P4,869.1672503161943,575.9000472288603,False
P01,AGEM KANAN,1,NAIK,mu,O1,158.64885943175696,184.517585695096,False
P01,AGEM KANAN,1,NAIK,mu,O2,7775.718101247796,1652.0538283642154,False
P01,AGEM KANAN,1,NAIK,beta,C3,37283.94931718506,322.6222146225263,False
P01,AGEM KANAN,1,NAIK,beta,C4,4884.072906716372,1260.771639187334,False
P01,AGEM KANAN,1,NAIK,beta,P3,1767.420267816589,534.7856274370798,False
P01,AGEM KANAN,1,NAIK,beta,P4,1427.226135263847,2124.730430956965,False
P01,AGEM KANAN,1,NAIK,beta,O1,311.9258803231354,527.568921549722,False
P01,AGEM KANAN,1,NAIK,beta,O2,5425.742642904115,2831.86582814307,False
P01,AGEM KANAN,1,POST,theta,C3,3103680.9777702475,6490.150052957053,False
P01,AGEM KANAN,1,POST,theta,C4,66877.07993686921,1439.6904909937684,False
P01,AGEM KANAN,1,POST,theta,P3,120195.01033906659,19593.017736158385,False
P01,AGEM KANAN,1,POST,theta,P4,23474.260137837067,5934.614644132798,False
P01,AGEM KANAN,1,POST,theta,O1,9653.702475172668,8312.283512217837,False
P01,AGEM KANAN,1,POST,theta,O2,158940.65160304282,6230.974019605299,False
P01,AGEM KANAN,1,POST,mu,C3,921732.4655358647,9111.21410161062,False
P01,AGEM KANAN,1,POST,mu,C4,102765.12008544362,6934.925758968444,False
P01,AGEM KANAN,1,POST,mu,P3,148955.96711308183,9793.131014202538,False
P01,AGEM KANAN,1,POST,mu,P4,10570.93377993714,7341.940122803835,False
P01,AGEM KANAN,1,POST,mu,O1,11405.084220762576,12555.763465965645,False
P01,AGEM KANAN,1,POST,mu,O2,81990.14043969606,18161.99757016929,False
P01,AGEM KANAN,1,POST,beta,C3,419999.07589269424,4649.182605301474,False
P01,AGEM KANAN,1,POST,beta,C4,38262.68864170131,10373.935611225581,False
