participant_id,sumber,gerakan,rep,fase,kanal,belahan,datar_frac,ptp_uv,clipping,layak_ketat,delta_db,emg_db
P08,timestamp_manual,Agem Kanan,1,Berdiri,T5,kiri (A1),0.167,79.0,False,False,5.246,5.151
P08,timestamp_manual,Agem Kanan,1,Berdiri,Fp2,kanan (A2),0.0,562.3,False,False,19.059,7.68
P08,timestamp_manual,Agem Kanan,1,Berdiri,F4,kanan (A2),0.139,408.6,False,False,17.485,15.517
P08,timestamp_manual,Agem Kanan,1,Berdiri,C4,kanan (A2),0.178,91.9,False,False,3.487,0.62
P08,timestamp_manual,Agem Kanan,1,Berdiri,P4,kanan (A2),0.207,128.7,False,False,7.663,2.027
P08,timestamp_manual,Agem Kanan,1,Berdiri,O2,kanan (A2),0.11,444.3,False,False,20.021,13.058
P08,timestamp_manual,Agem Kanan,1,Berdiri,F8,kanan (A2),0.0,442.3,False,False,13.465,7.477
P08,timestamp_manual,Agem Kanan,1,Berdiri,T4,kanan (A2),0.0,624.5,False,False,19.41,7.984
P08,timestamp_manual,Agem Kanan,1,Berdiri,T6,kanan (A2),0.11,622.3,False,False,10.691,3.776
P08,timestamp_manual,Agem Kanan,2,Gerak,Fp1,kiri (A1),0.0,287.5,False,False,10.582,6.146
P08,timestamp_manual,Agem Kanan,2,Gerak,F3,kiri (A1),0.077,249.5,False,False,10.826,1.854
P08,timestamp_manual,Agem Kanan,2,Gerak,C3,kiri (A1),0.231,131.3,False,False,4.876,-2.032
P08,timestamp_manual,Agem Kanan,2,Gerak,P3,kiri (A1),0.277,91.4,False,False,-1.054,-1.717
P08,timestamp_manual,Agem Kanan,2,Gerak,O1,kiri (A1),0.0,356.0,False,False,12.846,4.683
P08,timestamp_manual,Agem Kanan,2,Gerak,F7,kiri (A1),0.0,262.8,False,False,11.42,6.201
P08,timestamp_manual,Agem Kanan,2,Gerak,T3,kiri (A1),0.0,490.1,False,False,13.221,4.069
P08,timestamp_manual,Agem Kanan,2,Gerak,T5,kiri (A1),0.969,11.3,False,False,-48.031,-47.566
P08,timestamp_manual,Agem Kanan,2,Gerak,Fp2,kanan (A2),0.0,767.5,False,False,22.314,13.276
P08,timestamp_manual,Agem Kanan,2,Gerak,F4,kanan (A2),0.354,649.6,False,False,28.01,27.08
P08,timestamp_manual,Agem Kanan,2,Gerak,C4,kanan (A2),0.385,562.9,False,False,10.222,15.713
P08,timestamp_manual,Agem Kanan,2,Gerak,P4,kanan (A2),0.431,594.3,False,False,13.562,17.493
P08,timestamp_manual,Agem Kanan,2,Gerak,O2,kanan (A2),0.431,621.8,False,False,17.327,22.254
P08,timestamp_manual,Agem Kanan,2,Gerak,F8,kanan (A2),0.0,656.6,False,False,20.886,18.23
P08,timestamp_manual,Agem Kanan,2,Gerak,T4,kanan (A2),0.0,613.8,False,False,26.538,22.864
P08,timestamp_manual,Agem Kanan,2,Gerak,T6,kanan (A2),0.277,662.1,False,False,25.851,17.727
P08,timestamp_manual,Agem Kanan,2,Tahan,Fp1,kiri (A1),0.252,211.8,False,False,4.459,-2.581
