participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P03,AGEM KIRI,1,TURUN,beta,1183.4299536902813,129.14312731267086,129.14312731267086,1183.4299536902813,
P03,AGEM KIRI,1,TURUN,mu,504.24988665986797,165.37666330888285,165.37666330888285,504.24988665986797,
P03,AGEM KIRI,1,TURUN,theta,171.48597412085365,142.64390640846244,142.64390640846244,171.48597412085365,
P03,AGEM KIRI,3,NAIK,beta,-4.7786175763377825,-70.77781136312781,-70.77781136312781,-4.7786175763377825,0.8735086439787587
P03,AGEM KIRI,3,NAIK,mu,-45.58765675155774,-63.5339919896096,-63.5339919896096,-45.58765675155774,0.16446173096797623
P03,AGEM KIRI,3,NAIK,theta,-65.70147137191164,-74.7587977092249,-74.7587977092249,-65.70147137191164,0.06448319084510165
P03,AGEM KIRI,3,POST,beta,382.3519329985315,111.19436568599806,111.19436568599806,382.3519329985315,
P03,AGEM KIRI,3,POST,mu,356.84401719227014,268.9063775876246,268.9063775876246,356.84401719227014,
P03,AGEM KIRI,3,POST,theta,370.6646697918646,139.4390303695704,139.4390303695704,370.6646697918646,
P03,AGEM KIRI,3,PRA,beta,-36.351495176286456,-49.4963046738685,-49.4963046738685,-36.351495176286456,0.15311760488359585
P03,AGEM KIRI,3,PRA,mu,-46.41950399995599,-46.33822091701199,-46.33822091701199,-46.41950399995599,-0.0008762944867046388
P03,AGEM KIRI,3,PRA,theta,-55.45744896984804,-54.647070325913134,-54.647070325913134,-55.45744896984804,-0.00736008520920087
P03,AGEM KIRI,3,TAHAN,beta,32.01607193584458,-39.67245383591621,-39.67245383591621,32.01607193584458,
P03,AGEM KIRI,3,TAHAN,mu,-37.422916269608095,-3.950469822960462,-3.950469822960462,-37.422916269608095,-0.8090332846278665
P03,AGEM KIRI,3,TAHAN,theta,-65.68262800711403,-60.22898629734563,-60.22898629734563,-65.68262800711403,-0.04331325382407747
P03,AGEM KIRI,3,TURUN,beta,258.4508669662134,47.4872855917037,47.4872855917037,258.4508669662134,
P03,AGEM KIRI,3,TURUN,mu,249.5966831938177,91.05882211682129,91.05882211682129,249.5966831938177,
P03,AGEM KIRI,3,TURUN,theta,464.95694599969113,162.88638598855795,162.88638598855795,464.95694599969113,
P03,AGEM KIRI,4,NAIK,beta,-54.25449414104477,-64.89394226242601,-64.89394226242601,-54.25449414104477,0.08929574270998414
